No Service,Tanggal Keluhan,Ket. Teknisi,Teknisi ,Deskripsi Pekerjaan (Maintanance),Divisi,Jenis pekerjaan,Lokasi,Foto Before,Tanggal Selesai,"Lead Time
(Hari)",Foto After
1,01/08/2024,Internal,Iwan,Atap gudang bumbu dan gudang tepung mentah bocor,Logistik,Infrastruktur,Gudang Cibeureum,,19/08/2024,18,
2,02/08/2024,Internal,Irawan,Lampu gudang Blast mati,Produksi,Elektronik,Produksi Ayam,,20/08/2024,18,
3,09/08/2024,External,Vendor,3 Timbangan merk sojikyo error,Produksi,Elektronik,Produksi Ayam,,21/08/2024,12,
4,09/08/2024,Internal,Dafa,Laptop Staf Stokis Keyboard Error dan Lemot,stokis,IT,Tamansari persada,,22/08/2024,13,
5,10/08/2024,Internal,Iwan,Slot mesin tepung 50kg patah,Logistik,Mesin,Gudang Cibeureum,,23/08/2024,13,
6,10/08/2024,Internal,Irawan,Lampu di area loading mati,Produksi,Elektronik,Produksi Ayam,,24/08/2024,14,
7,10/08/2024,Internal,Iwan,Pipa Vacum Thumbler terlepas dari mesin vacum,Produksi,Mesin,Produksi Ayam,,12/08/2024,2,
8,13/08/2024,Internal,Dafa,CCTV Gudang Cibereum Lama Lost Koneksi HP,Logistik,Elektronik,Gudang Cibeureum,,14/08/2024,1,
159,18/08/2024,Internal,Iyus," Pak minta tolong di bantu , Untuk pemasangan Terminal Listrik di Ruang miting Kemitraan ",Kemitraan,Instalasi Listrik,kemitraan,,29/10/2024,72,
9,19/08/2024,Internal,Iwan,Mesin Jahit Tepung Trouble,Logistik,Mesin,Gudang Cibeureum,,24/08/2024,5,
10,19/08/2024,Internal,Irawan,Rel gerbang depan gudang produksi amblas,Logistik,Infrastruktur,Gudang Cibeureum,,24/08/2024,5,
11,19/08/2024,Internal,Irawan,"Pemasangan CCTV (buat dudukan CCTV diatas, diruangan finance TSP)",Finance,Elektronik,Tamansari persada,,20/08/2024,1,
12,19/08/2024,Internal,Iyus,Pemasangan stop kontak disetiap meja karyawan Div.Finance,Finance,Infrastruktur,Tamansari persada,,02/09/2024,14,
13,19/08/2024,Internal,Iwan,Rel gerbang gudang tempat penyimpanan tepung mentah bengkok,Logistik,Infrastruktur,Gudang Cibeureum,,19/08/2024,0,
14,19/08/2024,Internal,Dafa, Printer Ruangan Event Promosi tidak berfungsi,Promosi & Event,Elektronik,Tamansari persada,,20/08/2024,1,
15,19/08/2024,Internal,Irawan,Kipas Angin tembok rusak,Logistik,Elektronik,Gudang Cibeureum,,,-,
16,19/08/2024,Internal,Iwan,Blower gudang tidak berfungsi,Logistik,Elektronik,Gudang Cibeureum,,17/09/2024,29,
17,19/08/2024,Internal,Iwan,stop kontak terbakar,Logistik,Elektronik,Gudang Cibeureum,,22/08/2024,3,
18,19/08/2024,Internal,Irawan,Tembok berlubang,Logistik,Infrastruktur,Gudang Cibeureum,,17/09/2024,29,
19,19/08/2024,Internal,Irawan,"Mesin produksi kapasitas 50 kg, trouble di bagian pully/panbelt",Logistik,Mesin,Gudang Cibeureum,,28/08/2024,9,
20,19/08/2024,Internal,Iwan,Bearing mesin parting rusak,Produksi,Mesin,Head Office,,20/08/2024,1,
21,19/08/2024,Internal,Irawan,2 unit exsos di dalam gudang produksi tidak menyala/Mati,Logistik,Elektronik,Gudang Cibeureum,,17/09/2024,29,
22,19/08/2024,Internal,Iyus,Tidak ada nya exsos di kamar mandi,Kemitraan,Elektronik,Tamansari persada,,26/08/2024,7,
23,19/08/2024,Internal,Iyus,Pemasangan gorden ruko kemitraan,Kemitraan,Infrastruktur,Tamansari persada,,21/08/2024,2,
24,19/08/2024,Internal,Iyus,Pemasangan lampu area tangga ruko kemitraan,Kemitraan,Elektronik,Tamansari persada,,22/08/2024,3,
25,19/08/2024,Internal,Dafa,Kerusakan charger laptop,Brand & Media,IT,Office IPB 2,,28/08/2024,9,
26,19/08/2024,Internal,Dafa,Wifi office depan kembali mengalami eror tidak ada data internet,Logistik,IT,Gudang Cibeureum,,20/08/2024,1,
27,19/08/2024,External,Vendor,Distokis lama pekanbaru Daya listrik belom diturun kan,stokis,Elektronik,Stokis Luar Kota,,26/08/2024,7,
28,19/08/2024,External,Vendor,Perbaikan bangunan bekas stokis pekanbaru,stokis,Infrastruktur,Stokis Luar Kota,,26/08/2024,7,
29,20/08/2024,Internal,Iwan,pipa air samping office belakang Cibereum mengalami kebocoran,Logistik,Infrastruktur,Gudang Cibeureum,,20/08/2024,0,
30,20/08/2024,Internal,Iwan,Pintu Office HO macet,Ekspedisi,Infrastruktur,Head Office,,20/08/2024,0,
31,20/08/2024,Internal,Dafa,Pemasangan router wifi di depan ruang Asset,Humas & Service,IT,Tamansari persada,,21/08/2024,1,
32,21/08/2024,Internal,Iwan,"Trouble Mesin Marinasi 50 kg, slot kunci patah",Logistik,Mesin,Gudang Cibeureum,,22/08/2024,1,
33,22/08/2024,Internal,Iwan,"Trouble Mesin Marinasi 100 kg, puly bagian bawah lepas",Logistik,Mesin,Gudang Cibeureum,,22/08/2024,0,
34,22/08/2024,Internal,Iwan," Engsel pada CS lama mengalami kendor pada baut, pada saat menutup mengalami macet",Logistik,Infrastruktur,Gudang Cibeureum,,22/08/2024,0,
35,22/08/2024,Internal,Iwan,Meminta jadwal plester pada area tersebut ,Logistik,Infrastruktur,Gudang Cibeureum,,31/08/2024,9,
36,22/08/2024,Internal,Iwan,Meminta jadwal plester pada area tersebut ,Logistik,Infrastruktur,Gudang Cibeureum,,24/08/2024,2,
